id,labels,probably
3_8586d,1,1.0
3_8586b,1,0.9874779
3_8586a,0,0.99993026
3_8586c,1,1.0
3_6746a,1,1.0
3_6746b,1,0.99978405
3_6746c,1,1.0
3_6746d,1,1.0
1_5849c,1,1.0
1_5849b,0,0.9997788
1_5849a,0,0.99909055
1_5849d,0,0.9307796
3_9560c,1,0.9529492
3_9560a,0,0.99999917
3_9560b,0,0.99443555
3_9560d,1,0.9999993
1_1400a,1,1.0
1_1400b,1,1.0
1_1400d,1,0.99279624
1_1400c,1,1.0
3_2681c,1,1.0
3_2681b,1,0.99999917
3_2681a,1,0.9999999
3_2681d,1,0.9990785
2_205d,1,1.0
2_205a,1,0.9999999
2_205c,1,1.0
2_205b,1,1.0
3_6753d,1,0.9999999
3_6753c,1,0.9999999
3_6753b,1,0.99989283
3_6753a,1,1.0
3_6360a,0,0.9169012
3_6360b,0,0.9998573
3_6360d,0,1.0
3_6360c,1,1.0
3_11176c,1,1.0
3_11176b,1,1.0
3_11176d,1,1.0
3_11176a,1,1.0
3_14342c,0,1.0
3_14342b,0,0.999998
3_14342a,0,0.99998796
3_14342d,0,0.9999639
2_298d,1,1.0
2_298a,1,0.999998
2_298c,1,1.0
2_298b,0,1.0
1_6147d,0,1.0
1_6147b,0,1.0
1_6147c,0,1.0
1_6147a,0,1.0
4_3573a,0,0.9999963
4_3573c,1,0.98236865
4_3573d,0,0.83314925
4_3573b,0,0.9999995
3_14808c,1,0.9999999
3_14808a,0,1.0
3_14808d,0,1.0
3_14808b,0,1.0
3_15215a,1,0.99969053
3_15215c,0,0.99975675
3_15215d,0,1.0
3_15215b,1,1.0
4_621d,0,1.0
4_621a,0,1.0
4_621b,1,0.9996973
4_621c,0,0.9999926
1_2457d,1,1.0
1_2457c,1,1.0
1_2457b,1,1.0
1_2457a,1,1.0
3_5258a,0,1.0
3_5258d,0,1.0
3_5258b,0,1.0
3_5258c,0,1.0
1_5601d,0,1.0
1_5601b,1,1.0
1_5601a,1,0.59499997
1_5601c,1,1.0
3_1230a,0,0.99990475
3_1230c,1,0.9999813
3_1230b,1,1.0
3_1230d,1,0.9999311
1_5626d,1,0.9998565
1_5626b,1,0.9971624
1_5626c,1,1.0
1_5626a,0,0.9975284
3_4556d,0,1.0
3_4556b,0,0.9999397
3_4556c,0,0.9999907
3_4556a,1,1.0
1_6871b,1,1.0
1_6871d,1,1.0
1_6871a,0,0.91916764
1_6871c,1,1.0
1_4673a,0,0.99998236
1_4673b,1,1.0
1_4673c,1,1.0
1_4673d,0,0.99999356
4_2486b,0,1.0
4_2486a,0,1.0
4_2486c,0,1.0
4_2486d,0,0.99822456
3_8642d,1,0.9999969
3_8642b,0,0.9997868
3_8642a,1,1.0
3_8642c,1,1.0
4_1945a,0,0.999998
4_1945d,0,1.0
4_1945c,0,1.0
4_1945b,0,0.99580634
1_6242b,0,0.99912256
1_6242a,1,1.0
1_6242d,1,0.9999993
1_6242c,0,0.999969
3_15222d,1,1.0
3_15222b,0,1.0
3_15222c,1,1.0
3_15222a,1,1.0
1_1960d,1,1.0
1_1960c,0,0.9999999
1_1960a,0,1.0
1_1960b,0,1.0
3_3205b,1,1.0
3_3205d,0,0.73769885
3_3205a,1,1.0
3_3205c,1,0.9863891
1_415b,0,0.99985945
1_415d,0,1.0
1_415c,0,1.0
1_415a,0,1.0
4_1993c,0,1.0
4_1993b,0,0.997988
4_1993d,1,0.9958657
4_1993a,1,0.9848247
4_2511c,1,0.99999976
4_2511a,1,1.0
4_2511b,0,1.0
4_2511d,0,0.9998429
1_3033d,0,0.99990714
1_3033b,0,1.0
1_3033a,0,1.0
1_3033c,0,1.0
1_5693d,0,1.0
1_5693b,0,1.0
1_5693c,0,1.0
1_5693a,0,1.0
1_6749d,1,0.99536264
1_6749b,0,0.999949
1_6749a,0,1.0
1_6749c,0,0.9999982
3_12391c,1,0.8061809
3_12391d,1,0.9997869
3_12391b,1,1.0
3_12391a,0,1.0
3_12048b,0,1.0
3_12048c,1,1.0
3_12048d,0,1.0
3_12048a,0,0.99999917
3_9906b,1,1.0
3_9906c,0,0.9694092
3_9906a,1,1.0
3_9906d,1,0.9994
3_8845d,0,1.0
3_8845c,1,0.9805211
3_8845a,0,1.0
3_8845b,0,1.0
3_2052b,0,1.0
3_2052d,1,1.0
3_2052c,1,0.9999987
3_2052a,1,0.999998
3_8246a,1,1.0
3_8246d,1,1.0
3_8246c,1,1.0
3_8246b,1,1.0
3_5626b,0,0.9922855
3_5626c,1,0.9972486
3_5626a,1,1.0
3_5626d,1,0.9999888
3_6006b,0,1.0
3_6006c,0,0.9999999
3_6006d,0,1.0
3_6006a,0,0.9999999
3_3095c,1,1.0
3_3095a,0,0.96112055
3_3095d,0,1.0
3_3095b,1,0.99999976
1_172a,0,1.0
1_172d,0,1.0
1_172c,0,1.0
1_172b,0,1.0
1_879b,1,1.0
1_879d,0,0.9999988
1_879c,0,0.99998736
1_879a,1,1.0
3_3630d,1,0.9995389
3_3630c,0,0.8727192
3_3630a,1,0.9997818
3_3630b,1,0.99999905
3_572c,0,1.0
3_572b,1,1.0
3_572a,1,1.0
3_572d,1,1.0
2_1047d,1,1.0
2_1047b,0,1.0
2_1047c,0,1.0
2_1047a,0,1.0
1_4291d,1,1.0
1_4291b,1,1.0
1_4291a,1,1.0
1_4291c,0,0.9999535
3_8625a,0,1.0
3_8625b,0,1.0
3_8625d,1,1.0
3_8625c,0,1.0
1_1849c,1,1.0
1_1849a,0,1.0
1_1849d,1,1.0
1_1849b,0,1.0
1_6777d,0,1.0
1_6777a,1,1.0
1_6777b,0,0.99999976
1_6777c,1,0.99999976
1_3559c,1,1.0
1_3559a,1,1.0
1_3559b,1,1.0
1_3559d,1,1.0
1_999d,1,0.99831957
1_999b,1,0.66688335
1_999a,1,1.0
1_999c,1,0.9999814
3_13826d,0,1.0
3_13826c,0,1.0
3_13826a,0,0.9989511
3_13826b,0,1.0
1_2125b,0,1.0
1_2125a,0,1.0
1_2125c,1,0.9999716
1_2125d,1,1.0
3_5045c,0,0.99999917
3_5045d,1,1.0
3_5045a,1,1.0
3_5045b,1,1.0
1_4589a,0,1.0
1_4589c,1,0.96965516
1_4589b,1,0.5084637
1_4589d,0,0.9999999
3_5840c,1,1.0
3_5840d,1,1.0
3_5840b,1,1.0
3_5840a,1,1.0
1_279b,0,1.0
1_279a,0,0.9988709
1_279c,0,1.0
1_279d,0,1.0
4_2055c,0,0.9999962
4_2055d,1,1.0
4_2055a,0,1.0
4_2055b,0,1.0
4_3446a,0,0.98136055
4_3446b,0,0.9999989
4_3446d,0,1.0
4_3446c,0,1.0
3_9843a,1,1.0
3_9843b,1,1.0
3_9843d,1,1.0
3_9843c,1,1.0
3_3869a,0,0.99999976
3_3869b,0,0.99999726
3_3869d,0,0.99999976
3_3869c,0,0.99999964
3_14857b,0,1.0
3_14857a,0,1.0
3_14857c,0,0.9999964
3_14857d,1,1.0
3_11348c,1,0.99994636
3_11348d,0,1.0
3_11348a,0,0.98468244
3_11348b,0,1.0
3_15134d,0,1.0
3_15134a,1,1.0
3_15134c,1,1.0
3_15134b,0,1.0
3_8168a,0,1.0
3_8168d,0,0.99416614
3_8168c,0,0.99927837
3_8168b,0,1.0
3_685d,1,1.0
3_685c,0,0.99950993
3_685b,1,1.0
3_685a,1,1.0
3_2056b,1,1.0
3_2056c,0,1.0
3_2056a,1,0.99999917
3_2056d,1,1.0
3_6826c,0,0.9999995
3_6826a,1,1.0
3_6826d,1,1.0
3_6826b,0,0.9999999
3_14b,0,0.9999974
3_14a,1,0.99999154
3_14d,0,0.9999994
3_14c,0,0.9525056
3_9820d,0,1.0
3_9820b,0,1.0
3_9820c,1,0.99991477
3_9820a,0,1.0
2_4a,1,1.0
2_4b,0,1.0
2_4c,1,0.6662231
2_4d,1,1.0
1_2335a,1,1.0
1_2335b,1,1.0
1_2335d,1,1.0
1_2335c,1,1.0
3_3211c,1,0.994655
3_3211a,0,0.99999905
3_3211d,0,0.9999999
3_3211b,1,1.0
3_4563c,1,0.99995494
3_4563d,0,0.9999995
3_4563b,1,1.0
3_4563a,0,1.0
1_4700c,1,0.99999964
1_4700b,1,1.0
1_4700d,1,0.99998975
1_4700a,1,1.0
1_3914a,0,1.0
1_3914b,0,0.99879277
1_3914d,1,1.0
1_3914c,1,1.0
